,Date,Reviews,Rating,Location
0,2023-04-13,"✅ Trip Verified |  I will never fly British Airways again. To start, the plane was over 2 hours late, with no weather and no reason given. The boarding process was chaotic, both in the airport and onto the plane. But more importantly, although we were in business class, it wasn’t really business class. There were a few aisles —not separated in any way—in which they simply put a tray on the middle seat so that no one sits there. And those seats, like the rest, were extremely cramped and uncomfortable. I could not believe they called this business class.",2,United States
1,2023-04-12,✅ Trip Verified |  Worst aircraft I have ever flown. The seats were cramped and uncomfortable considering the flights cost well over &1000each we expected a little space for the money my husbands knees were rubbing on seat in front which for a 10 hour+ flight is not acceptable. My food was disgusting and inedible both the hot food and the breakfast were vile. I would not entertain using BA again. Ground staff were great it’s the seating and food on offer that lets the airline down. We expected so much more.,1,United Kingdom
2,2023-04-11,"✅ Trip Verified |  I enjoyed my flight. The boarding was swift and service was very friendly and professional. The food selection was good and I enjoyed the quality. The was only one downside - when we landed there was an issue with ground crew not being ready at T5, so in total from landing to getting the doors open it took 30 minutes. I believe the Heathrow T5 were having strike action that week.",9,United Kingdom
3,2023-04-10,"✅ Trip Verified | Why do you make it so hard? After a so so lounge experience, the staff taking care of boarding treated us with disdain bordering contempt. It can’t be training, who would do that, it has to be no fear of anything happening. The “new” club world suites are a huge step up from the old product and really on deliver comfort and privacy. The crew were professional but I personally found the food menu rather odd. Essentially, there was one only main that I could handle and was then told they had ran out. I was a few rows in. ",5,United Kingdom
4,2023-04-09,"✅ Trip Verified |  After several delays and canceled flights, we finally made it to Copenhagen on American Airlines and British Airways flights. My luggage was destroyed, wheels torn off. I had to buy new luggage in Denmark. I made a claim with British Airways to reimburse me but because I didn’t have the receipt for my old luggage, they would only cover 50% of my new luggage. Advice, have receipts for your old luggage prior to flying so you don’t get ripped off like I did.",1,United States
5,2023-04-09,"Not Verified |  Literally the worst flight of my life. After booking tickets together with my partner, we were then separated: ‘sorry, the flight is full.’ The flight then took off 45 minutes late - no apology. The trolley service took over two hours and they periodically skipped rows, and the response was flippant and rude: ‘whoops. Not sure how that happened. What do you want?’ Genuinely appalling from beginning to end. Might as well fly Easy Jet - at least they charge a price commensurate with the poor quality of service, not like BA",2,United Kingdom
6,2023-04-09,"✅ Trip Verified |  I swore I would never fly BA again after they messed me about so much when trying to get to Budapest. But the times for their flights suited me so I decided to give them another go. The flight left on time (just about), the cabin was clean and the staff friendly. There was even complimentary tea/coffee and a breakfast bar to be had for economy. The flight was pleasant enough and I can't think of any negatives to write about. The flight and service was certainly head and shoulders above my trip with easyjet.",7,United Kingdom
7,2023-04-06,"✅ Trip Verified |  Obviously many airlines have gone downhill in recent years. Prices have increased and services have gone down. The most disappointing thing about BA is that aspects that really don’t need to get worse have. The check in staff at Heathrow are downright rude and abusive, shouting at passengers to line here and there and rolling their eyes if passengers get confused with the constant shouting and bullying. Airlines are now competing globally more and more and this behaviour is particularly noticeable in Asia where the service industry is next level. I wouldn’t want to suggest that all the staff are like this and many younger employees are polite and helpful. However there were a couple of older staff that were downright rude and obnoxious. ",4,United Kingdom
8,2023-04-06,"✅ Trip Verified | Lost 3 out of 4 checked bags. Denied wheelchair assistance at LHR for my wife and the staff forced us to change terminals by foot. Rude staff on BA297 from LHR to ORD on April 05, 2023: ignored multiple times when simply requested a cup of water. When walked up to them after a couple of attempts to request for water politely, the BA staff onboard yelled at my wife and asked her to be go back to seat. Horrible flight with disappointing staff. Customer service is terrible and online check-in never worked because BA never verified our COVID documents which were uploaded in advance, resulting me and my wife seated separately. I’ve lost respect for British Airways. Disgusted.",1,United States
9,2023-04-05,"✅ Trip Verified |  I have flown with BA for many years and there was a time about 10 years ago when they were getting better. Sadly this trip underlines how they have slipped versus other airlines. At booking time, one is scammed an extortionate amount to book a seat. At Heathrow T5 check in the queues were unbelievably long and staff at bag drop curt to say the least. The lounges here remain awful and overcrowded and BA has not invested in them for many years. On the flight the food was okay, although portions are kept minimal. This was one of those days when the crew could not give a damn and the service was mostly absent for the entire flight. Next time they change CEO, can they not do better than recruiting from aa second rate, budget Irish airline.",3,United Kingdom
